#    L    TT             EE             TE             PP             TP          
   131    0.37167E+04    0.10844E+01   -0.41056E+02    0.38533E+07    0.36876E+04
   132    0.37513E+04    0.10884E+01   -0.41471E+02    0.38306E+07    0.36398E+04
   133    0.37858E+04    0.10920E+01   -0.41872E+02    0.38081E+07    0.35927E+04
   134    0.38204E+04    0.10951E+01   -0.42254E+02    0.37858E+07    0.35464E+04
   135    0.38549E+04    0.10977E+01   -0.42620E+02    0.37636E+07    0.35009E+04
   136    0.38893E+04    0.10998E+01   -0.42966E+02    0.37416E+07    0.34561E+04
   137    0.39237E+04    0.11014E+01   -0.43295E+02    0.37198E+07    0.34121E+04
   138    0.39581E+04    0.11025E+01   -0.43605E+02    0.36981E+07    0.33688E+04
   139    0.39922E+04    0.11032E+01   -0.43895E+02    0.36766E+07    0.33262E+04
   140    0.40264E+04    0.11033E+01   -0.44167E+02    0.36553E+07    0.32843E+04
   141    0.40604E+04    0.11029E+01   -0.44418E+02    0.36342E+07    0.32431E+04
   142    0.40944E+04    0.11021E+01   -0.44648E+02    0.36132E+07    0.32026E+04
   143    0.41284E+04    0.11008E+01   -0.44859E+02    0.35924E+07    0.31628E+04
   144    0.41621E+04    0.10990E+01   -0.45048E+02    0.35717E+07    0.31236E+04
   145    0.41957E+04    0.10968E+01   -0.45215E+02    0.35512E+07    0.30850E+04
   146    0.42294E+04    0.10940E+01   -0.45361E+02    0.35309E+07    0.30470E+04
   147    0.42627E+04    0.10908E+01   -0.45484E+02    0.35107E+07    0.30097E+04
   148    0.42959E+04    0.10871E+01   -0.45585E+02    0.34907E+07    0.29729E+04
   149    0.43290E+04    0.10830E+01   -0.45663E+02    0.34709E+07    0.29368E+04
   150    0.43618E+04    0.10784E+01   -0.45716E+02    0.34512E+07    0.29012E+04
   151    0.43945E+04    0.10735E+01   -0.45747E+02    0.34316E+07    0.28661E+04
   152    0.44269E+04    0.10680E+01   -0.45753E+02    0.34123E+07    0.28316E+04
   153    0.44592E+04    0.10621E+01   -0.45734E+02    0.33930E+07    0.27976E+04
   154    0.44912E+04    0.10559E+01   -0.45690E+02    0.33740E+07    0.27642E+04
   155    0.45231E+04    0.10492E+01   -0.45622E+02    0.33550E+07    0.27312E+04
   156    0.45545E+04    0.10422E+01   -0.45529E+02    0.33363E+07    0.26988E+04
   157    0.45859E+04    0.10349E+01   -0.45410E+02    0.33177E+07    0.26669E+04
   158    0.46170E+04    0.10272E+01   -0.45266E+02    0.32992E+07    0.26355E+04
   159    0.46478E+04    0.10191E+01   -0.45096E+02    0.32809E+07    0.26045E+04
   160    0.46784E+04    0.10106E+01   -0.44899E+02    0.32627E+07    0.25741E+04
   161    0.47087E+04    0.10020E+01   -0.44677E+02    0.32447E+07    0.25441E+04
   162    0.47388E+04    0.99297E+00   -0.44429E+02    0.32268E+07    0.25146E+04
   163    0.47687E+04    0.98365E+00   -0.44154E+02    0.32091E+07    0.24856E+04
   164    0.47981E+04    0.97410E+00   -0.43853E+02    0.31915E+07    0.24570E+04
   165    0.48274E+04    0.96426E+00   -0.43524E+02    0.31741E+07    0.24288E+04
   166    0.48563E+04    0.95427E+00   -0.43169E+02    0.31568E+07    0.24011E+04
   167    0.48850E+04    0.94391E+00   -0.42789E+02    0.31396E+07    0.23738E+04
   168    0.49133E+04    0.93354E+00   -0.42380E+02    0.31226E+07    0.23469E+04
   169    0.49412E+04    0.92288E+00   -0.41944E+02    0.31057E+07    0.23205E+04
   170    0.49689E+04    0.91215E+00   -0.41481E+02    0.30890E+07    0.22944E+04
   171    0.49960E+04    0.90134E+00   -0.40989E+02    0.30724E+07    0.22687E+04
   172    0.50228E+04    0.89038E+00   -0.40470E+02    0.30559E+07    0.22434E+04
   173    0.50491E+04    0.87928E+00   -0.39924E+02    0.30396E+07    0.22185E+04
   174    0.50751E+04    0.86832E+00   -0.39350E+02    0.30234E+07    0.21940E+04
   175    0.51007E+04    0.85722E+00   -0.38748E+02    0.30073E+07    0.21698E+04
   176    0.51257E+04    0.84620E+00   -0.38119E+02    0.29914E+07    0.21460E+04
   177    0.51503E+04    0.83517E+00   -0.37462E+02    0.29756E+07    0.21226E+04
   178    0.51745E+04    0.82438E+00   -0.36777E+02    0.29599E+07    0.20995E+04
   179    0.51982E+04    0.81351E+00   -0.36065E+02    0.29444E+07    0.20767E+04
   180    0.52215E+04    0.80279E+00   -0.35326E+02    0.29289E+07    0.20543E+04
   181    0.52443E+04    0.79223E+00   -0.34560E+02    0.29136E+07    0.20321E+04
   182    0.52667E+04    0.78189E+00   -0.33766E+02    0.28985E+07    0.20104E+04
   183    0.52885E+04    0.77170E+00   -0.32945E+02    0.28834E+07    0.19889E+04
   184    0.53099E+04    0.76174E+00   -0.32098E+02    0.28685E+07    0.19677E+04
   185    0.53308E+04    0.75216E+00   -0.31225E+02    0.28537E+07    0.19469E+04
   186    0.53509E+04    0.74282E+00   -0.30324E+02    0.28390E+07    0.19264E+04
   187    0.53709E+04    0.73385E+00   -0.29396E+02    0.28245E+07    0.19061E+04
   188    0.53903E+04    0.72524E+00   -0.28444E+02    0.28100E+07    0.18862E+04
   189    0.54090E+04    0.71704E+00   -0.27465E+02    0.27957E+07    0.18665E+04
   190    0.54277E+04    0.70928E+00   -0.26462E+02    0.27815E+07    0.18471E+04
   191    0.54454E+04    0.70200E+00   -0.25432E+02    0.27674E+07    0.18280E+04
   192    0.54627E+04    0.69522E+00   -0.24376E+02    0.27534E+07    0.18092E+04
   193    0.54794E+04    0.68898E+00   -0.23297E+02    0.27395E+07    0.17906E+04
   194    0.54957E+04    0.68331E+00   -0.22193E+02    0.27257E+07    0.17723E+04
   195    0.55114E+04    0.67826E+00   -0.21065E+02    0.27121E+07    0.17542E+04
   196    0.55265E+04    0.67385E+00   -0.19912E+02    0.26985E+07    0.17364E+04
   197    0.55412E+04    0.67013E+00   -0.18737E+02    0.26851E+07    0.17189E+04
   198    0.55553E+04    0.66713E+00   -0.17539E+02    0.26718E+07    0.17015E+04
   199    0.55689E+04    0.66488E+00   -0.16318E+02    0.26585E+07    0.16845E+04
   200    0.55820E+04    0.66341E+00   -0.15074E+02    0.26454E+07    0.16676E+04
   201    0.55944E+04    0.66279E+00   -0.13809E+02    0.26324E+07    0.16510E+04
   202    0.56063E+04    0.66301E+00   -0.12522E+02    0.26195E+07    0.16345E+04
   203    0.56176E+04    0.66415E+00   -0.11213E+02    0.26067E+07    0.16183E+04
   204    0.56283E+04    0.66622E+00   -0.98849E+01    0.25939E+07    0.16024E+04
   205    0.56384E+04    0.66927E+00   -0.85359E+01    0.25813E+07    0.15866E+04
   206    0.56478E+04    0.67333E+00   -0.71670E+01    0.25688E+07    0.15710E+04
   207    0.56567E+04    0.67843E+00   -0.57787E+01    0.25564E+07    0.15557E+04
   208    0.56649E+04    0.68462E+00   -0.43714E+01    0.25441E+07    0.15405E+04
